id,DTEGRANTED,CODE,source_name,TYPECODE,APPLNO,OLDCODE,COMMODITIES,PART,LEN,STATUSGRP,GROUP5,source_title,AREA,AREAUNIT,RENEWAL,DTEPEGGED,INTEREST,GROUP2,COMMODITIESCD,STATUS,OBJECTID,layer_id,MAPREF,source_url,rest_url,layer_name,DTERENEWAL,JURISDIC,ARCHIVED,RESPOFFICE,NAME,ACCCODE,REGION,COMMENTS,TYPEGROUP,GROUP4,GROUP1,GROUP3,PARTIES,DTEEXPIRES,AREAVALUE,TYPE,DTEAPPLIED
222,,5701,NA,EPL,5701,,"Dimension Stone, Industrial Minerals",Part 1,0,Application,,Namibia Mining Cadastre Portal,0,Hectare,,,,,"DS, IM",Application,218215,10,"Namibia,L, Omaheke,Gobabis",http://portals.flexicadastre.com/Namibia/,http://services1.arcgis.com/AYIukXzftCPbklHN/arcgis/rest/services/NamibiaPortal_3/FeatureServer,Exclusive Prospecting Licence (Application),,Namibia,False,,EPL-5701,,,Giesberta: Letter of consent from geotechnical persons pending and notification of intention to apply to holders of 5239.,Exploration,,"Dimension Stone, Industrial Minerals",,Morne Witt (100.00%),,29357.8914,Exclusive Prospecting Licence,2014-07-04
223,,5711,NA,EPL,Pre-Application_EPL_17,,Dimension Stone,Part 1,0,Application,,Namibia Mining Cadastre Portal,0,Hectare,,,,,DS,Application,218216,10,"Namibia,Erongo,Karibib; G, H",http://portals.flexicadastre.com/Namibia/,http://services1.arcgis.com/AYIukXzftCPbklHN/arcgis/rest/services/NamibiaPortal_3/FeatureServer,Exclusive Prospecting Licence (Application),,Namibia,False,,EPL-5711,,,,Exploration,,Dimension Stone,,Ngendahala A.K. Frans Indongo (100.00%),,661.9563,Exclusive Prospecting Licence,2014-07-28
224,,5712,NA,EPL,Pre-Application_EPL_18,,Base and Rare Metals,Part 1,0,Application,,Namibia Mining Cadastre Portal,0,Hectare,,,,,BRM,Application,218217,10,"Namibia,B, Kavango,Katima Mulilo",http://portals.flexicadastre.com/Namibia/,http://services1.arcgis.com/AYIukXzftCPbklHN/arcgis/rest/services/NamibiaPortal_3/FeatureServer,Exclusive Prospecting Licence (Application),,Namibia,False,,EPL-5712,,,Giesberta: Awaits for shareholding certificates and notification of intention to apply for EPL to holders of 3385.,Exploration,,Base and Rare Metals,,Rio Tinto Mining & Exploration Ltd (100.00%),,12842.1995,Exclusive Prospecting Licence,2014-07-28
225,,5713,NA,EPL,Pre-Application_EPL_19,,Base and Rare Metals,Part 1,0,Application,,Namibia Mining Cadastre Portal,0,Hectare,,,,,BRM,Application,218218,10,"Namibia,B, Kavango,Katima Mulilo",http://portals.flexicadastre.com/Namibia/,http://services1.arcgis.com/AYIukXzftCPbklHN/arcgis/rest/services/NamibiaPortal_3/FeatureServer,Exclusive Prospecting Licence (Application),,Namibia,False,,EPL-5713,,,Giesberta: Awaits for shareholding certificates and notification of intention to apply for EPL to holders of 3503.,Exploration,,Base and Rare Metals,,Rio Tinto Mining & Exploration Ltd (100.00%),,27717.2108,Exclusive Prospecting Licence,2014-07-28
226,,5715,NA,EPL,Pre-Application_EPL_21,,"Base and Rare Metals, Precious Metals, Precious Stones, Semi-Precious Stones",Part 1,0,Application,,Namibia Mining Cadastre Portal,0,Hectare,,,,,"BRM, PM, PS, SPS",Application,218219,10,"Namibia,A, Kunene,Opuwo",http://portals.flexicadastre.com/Namibia/,http://services1.arcgis.com/AYIukXzftCPbklHN/arcgis/rest/services/NamibiaPortal_3/FeatureServer,Exclusive Prospecting Licence (Application),,Namibia,False,,EPL-5715,,,,Exploration,,"Base and Rare Metals, Precious Metals, Precious Stones, Semi-Precious Stones",,Riana Getruida Scholtz (100.00%),,11638.6412,Exclusive Prospecting Licence,2014-08-01
227,,5716,NA,EPL,Pre-Application_EPL_22,,"Base and Rare Metals, Dimension Stone, Industrial Minerals, Precious Metals, Precious Stones, Semi-Precious Stones",Part 1,0,Application,,Namibia Mining Cadastre Portal,0,Hectare,,,,,"BRM, DS, IM, PM, PS, SPS",Application,218220,10,"Namibia,A, Kunene,Opuwo; Omusati,Uutapi",http://portals.flexicadastre.com/Namibia/,http://services1.arcgis.com/AYIukXzftCPbklHN/arcgis/rest/services/NamibiaPortal_3/FeatureServer,Exclusive Prospecting Licence (Application),,Namibia,False,,EPL-5716,,,,Exploration,,"Base and Rare Metals, Dimension Stone, Industrial Minerals, Precious Metals, Precious Stones, Semi-Precious Stones",,Riana Getruida Scholtz (100.00%),,57887.8737,Exclusive Prospecting Licence,2014-08-01
228,,5717,NA,EPL,Pre-Application_EPL_23,,"Base and Rare Metals, Dimension Stone, Industrial Minerals, Precious Metals, Semi-Precious Stones",Part 1,0,Application,,Namibia Mining Cadastre Portal,0,Hectare,,,,,"BRM, DS, IM, PM, SPS",Application,218221,10,"Namibia,A, Kunene,Opuwo",http://portals.flexicadastre.com/Namibia/,http://services1.arcgis.com/AYIukXzftCPbklHN/arcgis/rest/services/NamibiaPortal_3/FeatureServer,Exclusive Prospecting Licence (Application),,Namibia,False,,EPL-5717,,,,Exploration,,"Base and Rare Metals, Dimension Stone, Industrial Minerals, Precious Metals, Semi-Precious Stones",,Riana Getruida Scholtz (100.00%),,45707.8383,Exclusive Prospecting Licence,2014-08-01
229,,5718,NA,EPL,5718,,"Base and Rare Metals, Dimension Stone, Industrial Minerals, Precious Metals, Semi-Precious Stones",Part 1,0,Application,,Namibia Mining Cadastre Portal,0,Hectare,,,,,"BRM, DS, IM, PM, SPS",Application,218222,10,"Namibia,Erongo,Karibib; H",http://portals.flexicadastre.com/Namibia/,http://services1.arcgis.com/AYIukXzftCPbklHN/arcgis/rest/services/NamibiaPortal_3/FeatureServer,Exclusive Prospecting Licence (Application),,Namibia,False,,EPL-5718,,,,Exploration,,"Base and Rare Metals, Dimension Stone, Industrial Minerals, Precious Metals, Semi-Precious Stones",,Vigilant Investment cc (100.00%),,20000.0,Exclusive Prospecting Licence,2014-08-07
230,,5720,NA,EPL,5720,,"Base and Rare Metals, Industrial Minerals",Part 3,0,Application,,Namibia Mining Cadastre Portal,0,Hectare,,,,,"BRM, IM",Application,218223,10,"Namibia,A, Kunene,Khorixas",http://portals.flexicadastre.com/Namibia/,http://services1.arcgis.com/AYIukXzftCPbklHN/arcgis/rest/services/NamibiaPortal_3/FeatureServer,Exclusive Prospecting Licence (Application),,Namibia,False,,EPL-5720,,,Giesberta: Application awaits proof of availability of funds for proposed exploration activities. ,Exploration,,Base and Rare Metals,,NamNing Industry Import and Export CC (100.00%),,55409.2814,Exclusive Prospecting Licence,2014-08-11
231,,5724,NA,EPL,5724,,"Base and Rare Metals, Precious Metals",Part 1,0,Application,,Namibia Mining Cadastre Portal,0,Hectare,,,,,"BRM, PM",Application,218224,10,"Namibia,Hardap,Mariental, Rehoboth; Khomas,Rehoboth, Windhoek; M",http://portals.flexicadastre.com/Namibia/,http://services1.arcgis.com/AYIukXzftCPbklHN/arcgis/rest/services/NamibiaPortal_3/FeatureServer,Exclusive Prospecting Licence (Application),,Namibia,False,,EPL-5724,,,,Exploration,,"Base and Rare Metals, Precious Metals",,Masterton Investments (Pty) Ltd (100.00%),,72657.5386,Exclusive Prospecting Licence,2014-08-14
