id,DTEGRANTED,CODE,source_name,TYPECODE,APPLNO,OLDCODE,COMMODITIES,PART,LEN,STATUSGRP,GROUP5,source_title,AREA,AREAUNIT,RENEWAL,DTEPEGGED,INTEREST,GROUP2,COMMODITIESCD,STATUS,OBJECTID,layer_id,MAPREF,source_url,rest_url,layer_name,DTERENEWAL,JURISDIC,ARCHIVED,RESPOFFICE,NAME,ACCCODE,REGION,COMMENTS,TYPEGROUP,GROUP4,GROUP1,GROUP3,PARTIES,DTEEXPIRES,AREAVALUE,TYPE,DTEAPPLIED
1145,,Test-79,NA,TA,,,,Part 1,0,Application,,Namibia Mining Cadastre Portal,0,Hectare,,,,,,Pre-Application,216897,18,,http://portals.flexicadastre.com/Namibia/,http://services1.arcgis.com/AYIukXzftCPbklHN/arcgis/rest/services/NamibiaPortal_3/FeatureServer,AllLicenses,,Namibia,True,,,,,,Exploration,,,,,,86726.837,Test Areas,
1146,,Test-80,NA,TA,,,,Part 1,0,Application,,Namibia Mining Cadastre Portal,0,Hectare,,,,,,Pre-Application,216898,18,,http://portals.flexicadastre.com/Namibia/,http://services1.arcgis.com/AYIukXzftCPbklHN/arcgis/rest/services/NamibiaPortal_3/FeatureServer,AllLicenses,,Namibia,True,,,,,,Exploration,,,,,,96993.0479,Test Areas,
1147,,Test-81,NA,TA,,,,Part 1,0,Application,,Namibia Mining Cadastre Portal,0,Hectare,,,,,,Pre-Application,216899,18,,http://portals.flexicadastre.com/Namibia/,http://services1.arcgis.com/AYIukXzftCPbklHN/arcgis/rest/services/NamibiaPortal_3/FeatureServer,AllLicenses,,Namibia,True,,,,,,Exploration,,,,,,17.502,Test Areas,
1148,,Test-82,NA,TA,,,,Part 1,0,Application,,Namibia Mining Cadastre Portal,0,Hectare,,,,,,Pre-Application,216900,18,,http://portals.flexicadastre.com/Namibia/,http://services1.arcgis.com/AYIukXzftCPbklHN/arcgis/rest/services/NamibiaPortal_3/FeatureServer,AllLicenses,,Namibia,True,,,,,,Exploration,,,,,,15.8179,Test Areas,
1149,,Test-83,NA,TA,,,,Part 1,0,Application,,Namibia Mining Cadastre Portal,0,Hectare,,,,,,Pre-Application,216901,18,,http://portals.flexicadastre.com/Namibia/,http://services1.arcgis.com/AYIukXzftCPbklHN/arcgis/rest/services/NamibiaPortal_3/FeatureServer,AllLicenses,,Namibia,True,,,,,,Exploration,,,,,,10.0625,Test Areas,
1150,,Test-84,NA,TA,,,,Part 1,0,Application,,Namibia Mining Cadastre Portal,0,Hectare,,,,,,Pre-Application,216902,18,,http://portals.flexicadastre.com/Namibia/,http://services1.arcgis.com/AYIukXzftCPbklHN/arcgis/rest/services/NamibiaPortal_3/FeatureServer,AllLicenses,,Namibia,True,,,,,,Exploration,,,,,,,Test Areas,
1151,2013-11-05,69066,NA,MC,69066,,Semi-Precious Stones,Part 1,0,Active,,Namibia Mining Cadastre Portal,0,Hectare,,2013-07-02,,,SPS,Active,216903,18,"Namibia,Erongo,Karibib; H",http://portals.flexicadastre.com/Namibia/,http://services1.arcgis.com/AYIukXzftCPbklHN/arcgis/rest/services/NamibiaPortal_3/FeatureServer,AllLicenses,,Namibia,False,,MC-69066,,,,Claims,,Semi-Precious Stones,,Erich Maletzky (100.000000%),2016-11-04,14.7058,Mining Claim,2013-07-15
1152,,Test-86,NA,TA,,,,Part 1,0,Application,,Namibia Mining Cadastre Portal,0,Hectare,,,,,,Pre-Application,216904,18,,http://portals.flexicadastre.com/Namibia/,http://services1.arcgis.com/AYIukXzftCPbklHN/arcgis/rest/services/NamibiaPortal_3/FeatureServer,AllLicenses,,Namibia,True,,EPL-,,,,Exploration,,,,,,3031.6103,Test Areas,
1153,,Test-87,NA,TA,,,,Part 2,0,Application,,Namibia Mining Cadastre Portal,0,Hectare,,,,,,Pre-Application,216905,18,,http://portals.flexicadastre.com/Namibia/,http://services1.arcgis.com/AYIukXzftCPbklHN/arcgis/rest/services/NamibiaPortal_3/FeatureServer,AllLicenses,,Namibia,True,,EPL-,,,,Exploration,,,,,,18216.5972,Test Areas,
1154,,Test-88,NA,TA,,,,Part 1,0,Application,,Namibia Mining Cadastre Portal,0,Hectare,,,,,,Pre-Application,216906,18,,http://portals.flexicadastre.com/Namibia/,http://services1.arcgis.com/AYIukXzftCPbklHN/arcgis/rest/services/NamibiaPortal_3/FeatureServer,AllLicenses,,Namibia,True,,,,,,Exploration,,,,,,44608.2294,Test Areas,
1155,,Test-89,NA,TA,,,,Part 1,0,Application,,Namibia Mining Cadastre Portal,0,Hectare,,,,,,Pre-Application,216907,18,,http://portals.flexicadastre.com/Namibia/,http://services1.arcgis.com/AYIukXzftCPbklHN/arcgis/rest/services/NamibiaPortal_3/FeatureServer,AllLicenses,,Namibia,True,,Test-,,,,Exploration,,,,,,6458.3916,Test Areas,
1156,2007-09-26,67880,NA,MC,,67880,Semi-Precious Stones,Part 1,0,Active,,Namibia Mining Cadastre Portal,0,,0,2007-08-10,,,SPS,Active,216908,18,"Namibia,Erongo,Omaruru; H",http://portals.flexicadastre.com/Namibia/,http://services1.arcgis.com/AYIukXzftCPbklHN/arcgis/rest/services/NamibiaPortal_3/FeatureServer,AllLicenses,2012-09-26,Namibia,False,14/2/2/1/2/,67880,,,,Claims,,Semi-Precious Stones,,Markus Ndara (100.000000%),2014-09-25,,Mining Claim,2007-08-17
1157,2007-09-26,67877,NA,MC,,67877,Semi-Precious Stones,Part 1,0,Active,,Namibia Mining Cadastre Portal,0,,0,2007-08-10,,,SPS,Active,216909,18,"Namibia,Erongo,Omaruru; H",http://portals.flexicadastre.com/Namibia/,http://services1.arcgis.com/AYIukXzftCPbklHN/arcgis/rest/services/NamibiaPortal_3/FeatureServer,AllLicenses,2012-09-26,Namibia,False,14/2/2/1/2/,67877,,,,Claims,,Semi-Precious Stones,,Markus Ndara (100.000000%),2014-09-25,,Mining Claim,2007-08-17
